player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jahmi'us Ramsey,ramseja01,2022,98,46,-2.213468310180501,-4.18734131354105,-6.400809623721551,11.09774954399223,-7.273697910737211,3.824051633255023,.5043544924004122,-4.99691324797749,-4.492558755577078,-.0406679723550139,-.0406679723550139,0,-.6192927332817777,-6.489237419315624,-7.108530152597401,-.5593455763947649
Julius Randle,randlju01,2022,1725,849,-.8412053882843885,-2.730472094480423,-3.571677482764811,-6.526364332344984,-5.764036378845037,-12.29040071119002,-2.082446148793583,-3.507751912412364,-5.590198061205948,-1.225197959277422,-1.225197959277422,0,-1.371234743927551,-3.143676378957219,-4.51491112288477,-.4119077103470971
Austin Reaves,reaveau01,2022,540,250,-2.401546780980119,4.003594846575304,1.602048065595184,.5183920577869542,4.325376124112527,4.843768181899481,-1.933942041943939,4.295004680255875,2.361062638311935,.6525984519664126,.6525984519664126,0,-2.771332983802115,2.149984561394903,-.6213484224072121,.1047993477603115
Cam Reddish,reddica01,2022,992,472,-.7801658399208086,.2461211499287587,-.5340446899920499,-10.33632871828043,.6408278477013861,-9.695500870579041,-2.916946303830142,.3669721396363279,-2.549974164193814,.0484980793962459,.0484980793962459,0,-1.629089599819689,.1779307483749257,-1.451158851444764,.6837562356734023
Davon Reed,reedda01,2022,74,37,3.439833981346541,1.814789020026853,5.254623001373393,-3.203151828715468,.1223461109215148,-3.080805717793953,2.314636150962626,1.517753784532156,3.832389935494781,.1220226925103621,.1220226925103621,0,2.271902404751694,2.240609753668185,4.512512158419879,-1.80133302454217
Paul Reed,reedpa01,2022,282,137,-1.655482542838401,3.183494376243115,1.528011833404715,2.181213677141086,-12.25260825480409,-10.071394577663,-.9597704373522422,.2009141940355316,-.7588562433167106,.1384327415721519,.1384327415721519,0,-.5025206544515971,1.777803807466739,1.275283153015142,-.5344979487487166
Naz Reid,reidna01,2022,784,366,-.9076122840075818,-1.821386845797516,-2.728999129805098,-6.450633918528117,-4.608885111721737,-11.05951903024985,-2.100877016095362,-2.581314416843931,-4.682191432939293,-.3638489058292007,-.3638489058292007,0,-1.174851149786751,-2.23764847447681,-3.412499624263561,.8448200567771862
Josh Richardson,richajo01,2022,943,458,.0481377752286152,-.6600897611027993,-.611951985874184,-.1395120628780552,-.7714172316912582,-.9109292945693134,-.0035450703857285,-.7446228963995022,-.7481679667852307,.4646779349880332,.4646779349880332,0,-1.210227705909034,-1.088629377941233,-2.298857083850267,-.6620641671988895
Nick Richards,richani01,2022,403,188,-2.893668329120497,-2.862110528399198,-5.755778857519694,-5.879525630896408,-8.471291357135929,-14.35081698803234,-3.729996418514638,-4.136889209919604,-7.866885628434241,-.489166065536065,-.489166065536065,0,-3.751402315603813,-3.98758198860872,-7.738984304212533,-.3331742894896252
Austin Rivers,riverau01,2022,622,314,-2.814492314967821,-2.789712260394422,-5.604204575362242,-2.175022706967484,-2.316735796524318,-4.491758503491802,-2.810713334349851,-2.857765700784491,-5.668479035134342,-.4603600465110972,-.4603600465110972,0,-2.883763778344727,-2.833216056926133,-5.716979835270861,-1.539263202422537
Duncan Robinson,robindu01,2022,1418,704,-.1039349985082007,-1.908677313280114,-2.012612311788314,-1.138971747087709,-2.888547315781947,-4.027519062869656,-.3622139055344198,-2.245554280226997,-2.607768185761416,.0508110202490599,.0508110202490599,0,.4667729424086481,-.7793597938997167,-.3125868514910686,-.5407185034498678
Jeremiah Robinson-Earl,robinje02,2022,1044,504,-3.752367615576714,-1.42356482314547,-5.175932438722184,-5.13939087879058,-.9793726749567802,-6.118763553747359,-4.191865008215734,-1.386360286239491,-5.578225294455225,-.7224139508392532,-.7224139508392532,0,-4.570923266779677,-1.650266587862018,-6.221189854641695,-.6660378247193586
Justin Robinson,robinju01,2022,430,198,-4.818913256791713,3.880534696873209,-.9383785599185046,-9.101034434524138,-.689096324626682,-9.79013075915082,-6.021629778624072,3.132326521496203,-2.889303257127869,-.0141483445258516,-.0141483445258516,0,-5.108020218884404,1.800351381727735,-3.307668837156669,.54058684024521
Mitchell Robinson,robinmi01,2022,1076,531,.3636833355043175,-.0826897900334173,.2809935454709002,1.908965781799509,-6.670914814302412,-4.761949032502903,.6596566574085295,-1.402481042545688,-.7428243851371586,.5380031252653218,.5380031252653218,0,-.1083904689402755,-.9871329615448677,-1.095523430485143,-1.062929482808551
Isaiah Roby,robyis01,2022,336,160,-.1125000317849873,-1.315862521651525,-1.428362553436512,-.5408255200373744,-1.744287406718142,-2.285112926755517,-.0613261757442025,-1.420636874064796,-1.481963049808999,.1027016167538456,.1027016167538456,0,-1.166506130181683,-2.406894077102795,-3.573400207284477,-.7841725035169579
Rajon Rondo,rondora01,2022,458,208,-3.208746684327271,.6772089707858995,-2.531537713541372,-2.875052562824191,4.781970114287661,1.906917551463469,-3.313591797336945,1.599892393864659,-1.713699403472286,.1114375934415575,.1114375934415575,0,-1.473913071212363,-.7405874379218483,-2.214500509134212,1.332510391377331
Derrick Rose,rosede01,2022,1015,496,3.851372504346667,2.497198089466084,6.348570593812751,3.781658635716111,8.354853997353761,12.13651263306987,4.065451705455575,3.88910392263579,7.954555628091365,2.699393207872979,2.699393207872979,0,3.137254696542927,1.851182615932143,4.98843731247507,-.3508483802825878
Terrence Ross,rosste01,2022,1236,589,-.7616507223309256,-4.262235805897649,-5.023886528228574,-7.233413657478126,-9.754045759276876,-16.987459416755,-2.064488083335612,-5.626094389083788,-7.690582472419401,-1.490760399373291,-1.490760399373291,0,-2.617262984462764,-6.159927129168858,-8.777190113631622,.4097759634412164
